datetime,adj_close,close,high,low,open,volume,symbol
2026-09-01 11:37:00+05:30,1308.0,1308.0,1308.4000244140625,1306.199951171875,1306.199951171875,77491,RELIANCE
2026-09-01 11:38:00+05:30,1307.9000244140625,1307.9000244140625,1309.5,1307.800048828125,1308.199951171875,80027,RELIANCE
2026-09-01 11:39:00+05:30,1308.5,1308.5,1309.300048828125,1307.5,1308.4000244140625,102035,RELIANCE
2026-09-01 11:40:00+05:30,1308.0999755859375,1308.0999755859375,1308.9000244140625,1308.0,1308.800048828125,25393,RELIANCE
2026-09-01 11:41:00+05:30,1309.300048828125,1309.300048828125,1309.300048828125,1308.0,1308.0,43185,RELIANCE
2026-09-01 11:42:00+05:30,1310.300048828125,1310.300048828125,1310.5999755859375,1309.0,1309.0,126625,RELIANCE
2026-09-01 11:43:00+05:30,1309.9000244140625,1309.9000244140625,1310.300048828125,1309.5999755859375,1310.300048828125,15722,RELIANCE
2026-09-01 11:44:00+05:30,1311.5999755859375,1311.5999755859375,1311.699951171875,1309.800048828125,1309.9000244140625,61732,RELIANCE
2026-09-01 11:45:00+05:30,1308.5,1308.5,1311.699951171875,1308.5,1311.300048828125,63508,RELIANCE
2026-09-01 11:46:00+05:30,1307.5,1307.5,1309.0,1307.5,1309.0,20759,RELIANCE
2026-09-01 11:47:00+05:30,1308.300048828125,1308.300048828125,1308.5999755859375,1307.5,1307.9000244140625,25252,RELIANCE
2026-09-01 11:48:00+05:30,1308.4000244140625,1308.4000244140625,1308.5,1308.0,1308.5,8665,RELIANCE
2026-09-01 11:49:00+05:30,1308.300048828125,1308.300048828125,1308.4000244140625,1308.199951171875,1308.4000244140625,8070,RELIANCE
2026-09-01 11:50:00+05:30,1309.4000244140625,1309.4000244140625,1310.0,1307.800048828125,1308.300048828125,49392,RELIANCE
2026-09-01 11:51:00+05:30,1308.5,1308.5,1309.4000244140625,1308.0,1309.0999755859375,54623,RELIANCE
2026-09-01 11:52:00+05:30,1308.300048828125,1308.300048828125,1309.0,1308.0999755859375,1308.5999755859375,13405,RELIANCE
2026-09-01 11:53:00+05:30,1308.300048828125,1308.300048828125,1308.5999755859375,1308.0999755859375,1308.5999755859375,6758,RELIANCE
2026-09-01 11:54:00+05:30,1308.5,1308.5,1308.5,1307.699951171875,1308.300048828125,17152,RELIANCE
2026-09-01 11:55:00+05:30,1308.0,1308.0,1308.5,1307.800048828125,1308.5,7431,RELIANCE
2026-09-01 11:56:00+05:30,1307.9000244140625,1307.9000244140625,1308.5999755859375,1307.9000244140625,1308.0999755859375,15770,RELIANCE
2026-09-01 11:57:00+05:30,1307.699951171875,1307.699951171875,1308.4000244140625,1307.5,1308.0999755859375,14851,RELIANCE
2026-09-01 11:58:00+05:30,1307.699951171875,1307.699951171875,1307.9000244140625,1307.5,1307.800048828125,9307,RELIANCE
2026-09-01 11:59:00+05:30,1307.699951171875,1307.699951171875,1307.800048828125,1307.5,1307.800048828125,14184,RELIANCE
2026-09-01 12:00:00+05:30,1307.4000244140625,1307.4000244140625,1307.800048828125,1307.0,1307.800048828125,13443,RELIANCE
2026-09-01 12:01:00+05:30,1307.300048828125,1307.300048828125,1307.699951171875,1307.0,1307.4000244140625,38299,RELIANCE
2026-09-01 12:02:00+05:30,1306.800048828125,1306.800048828125,1307.4000244140625,1306.5,1307.300048828125,11442,RELIANCE
2026-09-01 12:03:00+05:30,1307.0,1307.0,1307.0,1306.300048828125,1306.5,22845,RELIANCE
2026-09-01 12:04:00+05:30,1307.0,1307.0,1307.0,1306.699951171875,1307.0,5737,RELIANCE
2026-09-01 12:05:00+05:30,1306.800048828125,1306.800048828125,1307.0,1306.800048828125,1307.0,8552,RELIANCE
2026-09-01 12:06:00+05:30,1307.0999755859375,1307.0999755859375,1307.9000244140625,1307.0,1307.9000244140625,75465,RELIANCE
2026-09-01 12:07:00+05:30,1307.0999755859375,1307.0999755859375,1307.199951171875,1307.0,1307.199951171875,7873,RELIANCE
2026-09-01 12:08:00+05:30,1307.0999755859375,1307.0999755859375,1307.199951171875,1307.0,1307.0,6069,RELIANCE
2026-09-01 12:09:00+05:30,1307.0,1307.0,1307.0999755859375,1307.0,1307.0,6015,RELIANCE
2026-09-01 12:10:00+05:30,1307.0,1307.0,1307.0999755859375,1306.9000244140625,1307.0,10796,RELIANCE
2026-09-01 12:11:00+05:30,1307.0,1307.0,1307.0999755859375,1306.800048828125,1306.9000244140625,5218,RELIANCE
2026-09-01 12:12:00+05:30,1306.9000244140625,1306.9000244140625,1307.0,1306.800048828125,1306.800048828125,9963,RELIANCE
2026-09-01 12:13:00+05:30,1306.5,1306.5,1306.9000244140625,1306.4000244140625,1306.9000244140625,10294,RELIANCE
2026-09-01 12:14:00+05:30,1306.5999755859375,1306.5999755859375,1306.5999755859375,1306.199951171875,1306.5,17121,RELIANCE
2026-09-01 12:15:00+05:30,1306.5,1306.5,1306.5999755859375,1306.300048828125,1306.5999755859375,5307,RELIANCE
2026-09-01 12:16:00+05:30,1306.5,1306.5,1306.5,1306.0999755859375,1306.5,18907,RELIANCE
2026-09-01 12:17:00+05:30,1308.4000244140625,1308.4000244140625,1309.199951171875,1306.199951171875,1306.4000244140625,36603,RELIANCE
2026-09-01 12:18:00+05:30,1308.0999755859375,1308.0999755859375,1308.5999755859375,1307.5999755859375,1308.5999755859375,20384,RELIANCE
2026-09-01 12:19:00+05:30,1307.9000244140625,1307.9000244140625,1308.4000244140625,1307.5999755859375,1308.4000244140625,5201,RELIANCE
2026-09-01 12:20:00+05:30,1308.5999755859375,1308.5999755859375,1309.0,1307.5999755859375,1307.9000244140625,79526,RELIANCE
